word,zipf
brust,1.99
brute,3.58
bruts,0.0
bruvs,0.0
buats,0.0
buaze,0.0
bubal,1.1
bubas,0.0
bubba,0.0
bubbe,0.0
bubby,1.53
bubus,0.0
buchu,1.88
bucko,0.0
bucks,0.0
bucku,0.09
budas,0.0
buddy,3.56
buded,0.0
budes,0.0
budge,3.18
budis,0.0
budos,0.0
buena,0.0
buffa,2.1
buffe,0.0
buffi,0.0
buffo,1.82
buffs,0.0
buffy,2.89
bufos,0.0
bufty,0.0
bugan,0.0
buggy,3.3
bugle,3.03
buhls,0.0
buhrs,0.0
buiks,0.0
build,4.81
built,5.08
buist,2.14
bukes,0.0
bukos,0.0
bulbs,0.0
bulge,3.26
bulgy,1.5
bulks,0.0
bulky,3.47
bulla,2.69
bulls,0.0
bully,3.32
bulse,0.62
bumbo,0.0
bumfs,0.0
bumph,0.68
bumps,0.0
bumpy,2.78
bunas,0.0
bunce,2.55
bunch,3.94
bunco,1.76
bunde,0.0
bundh,0.0
bunds,0.0
bundt,0.0
bundu,0.0
bundy,0.0
bungs,0.0
bungy,1.25
bunia,0.0
bunje,0.0
bunjy,0.0
bunko,1.9
bunks,0.0
bunns,0.0
bunny,3.15
bunts,0.0
bunty,1.98
bunya,1.62
buoys,0.0
buppy,0.0
buran,1.58
buras,0.0
burbs,0.0
burds,0.0
buret,2.31
burfi,0.0
burgh,3.37
burgs,0.0
burin,2.35
burka,1.78
burke,4.05
burks,0.0
burls,0.0
burly,3.0
burns,4.24
burnt,4.07
buroo,0.0
burps,0.0
burqa,1.78
burra,0.0
burro,2.64
burrs,0.0
burry,2.05
bursa,2.97
burse,1.88
burst,4.26
busby,2.82
bused,0.0
buses,0.0
bushy,3.2
busks,0.0
busky,0.64
bussu,0.35
busti,0.0
busts,0.0
busty,1.8
butch,2.98
buteo,2.19
butes,0.0
butle,0.0
butoh,0.0
butte,3.53
butts,0.0
butty,1.69
butut,0.17
butyl,3.32
buxom,2.5
buyer,4.28
buyin,0.0
buzzy,1.95
bwana,2.12
bwazi,0.0
byded,0.0
bydes,0.0
byked,0.0
bykes,0.0
